CustomerKey,FullName,AddressLine1,Year,Quarter,Month,Day,Education,HouseOwnerFlag,MaritalStatus,NumberCarsOwned,Occupation,TotalChildren,YearlyIncome
11019,"Lal, Luke",7832 Landing Dr,1978,Qtr 1,March,7,High School,0,S,2,Skilled Manual,0,$40000
11020,"King, Jordan",7156 Rose Dr.,1978,Qtr 3,September,20,High School,0,S,2,Skilled Manual,0,$40000
11021,"Wilson, Destiny",8148 W. Lake Dr.,1978,Qtr 3,September,3,Partial College,0,S,1,Skilled Manual,0,$40000
11022,"Zhang, Ethan",1769 Nicholas Drive,1978,Qtr 4,October,12,Partial College,1,M,1,Skilled Manual,0,$40000
11023,"Edwards, Seth",4499 Valley Crest,1978,Qtr 4,October,11,Partial College,1,M,1,Skilled Manual,0,$40000
11024,"Xie, Russell",8734 Oxford Place,1978,Qtr 3,September,17,Partial College,1,M,2,Skilled Manual,0,$60000
11025,"Beck, Alejandro",2596 Franklin Canyon Road,1945,Qtr 4,December,23,Partial High School,1,M,2,Clerical,2,$10000
11026,"Sai, Harold",8211 Leeds Ct.,1946,Qtr 2,April,3,Partial College,0,S,2,Clerical,2,$30000
11027,"Zhao, Jessie",213 Valencia Place,1946,Qtr 4,December,7,Partial College,1,M,2,Clerical,2,$30000
11028,"Jimenez, Jill",9111 Rose Ann Ave,1946,Qtr 2,April,11,Partial College,1,M,2,Clerical,2,$30000
11029,"Moreno, Jimmy",6385 Mark Twain,1946,Qtr 4,December,21,Partial College,1,M,2,Clerical,2,$30000
11030,"Yuan, Bethany",636 Vine Hill Way,1947,Qtr 1,February,22,Partial High School,1,M,2,Clerical,2,$10000
11031,"Ramos, Theresa",6465 Detroit Ave.,1947,Qtr 3,August,22,High School,1,M,2,Skilled Manual,4,$20000
11032,"Stone, Denise",626 Bentley Street,1947,Qtr 2,June,11,High School,1,M,2,Skilled Manual,4,$20000
11033,"Nath, Jaime",5927 Rainbow Dr,1947,Qtr 3,September,23,High School,1,M,2,Skilled Manual,4,$20000
11034,"Gonzalez, Ebony",5167 Condor Place,1947,Qtr 2,June,19,High School,1,M,2,Skilled Manual,4,$20000
11035,"Dominguez, Wendy",1873 Mt. Whitney Dr,1948,Qtr 1,February,24,Partial High School,1,M,2,Clerical,2,$10000
11036,"Russell, Jennifer",3981 Augustine Drive,1978,Qtr 4,December,18,Partial College,1,M,2,Skilled Manual,0,$60000
11037,"Garcia, Chloe",8915 Woodside Way,1977,Qtr 4,November,27,Partial High School,0,S,2,Clerical,0,$40000
11038,"Hernandez, Diana",8357 Sandy Cove Lane,1948,Qtr 1,March,23,Partial High School,1,M,2,Clerical,2,$10000
11039,"Martin, Marc",9353 Creekside Dr.,1948,Qtr 4,December,17,Partial College,1,M,2,Clerical,3,$30000
11040,"Murphy, Jesse",3350 Kingswood Circle,1977,Qtr 3,August,1,Partial College,1,M,2,Skilled Manual,0,$30000
11041,"Carter, Amanda",5826 Escobar,1977,Qtr 4,October,16,Partial College,1,M,2,Skilled Manual,0,$60000
11042,"Sanchez, Megan",1397 Paraiso Ct.,1977,Qtr 2,June,13,Partial College,1,M,2,Skilled Manual,0,$70000
11043,"Simmons, Nathan",1170 Shaw Rd,1976,Qtr 1,February,24,Partial College,1,M,2,Skilled Manual,0,$60000
11044,"Flores, Adam",6935 Candle Dr,1949,Qtr 2,May,24,Partial High School,1,M,2,Clerical,2,$20000
11045,"Nara, Leonard",7466 La Vista Ave.,1950,Qtr 2,May,19,High School,0,S,2,Skilled Manual,3,$30000
11046,"Yuan, Christine",2356 Orange St,1950,Qtr 1,March,22,High School,1,M,2,Skilled Manual,3,$30000
11047,"Lu, Jaclyn",2812 Mazatlan,1950,Qtr 1,February,27,High School,0,M,2,Skilled Manual,3,$30000
11048,"Powell, Jeremy",1803 Potomac Dr.,1950,Qtr 4,November,22,High School,1,M,2,Skilled Manual,3,$30000
11049,"Rai, Carol",6064 Madrid,1980,Qtr 3,July,18,Partial High School,1,S,2,Clerical,0,$40000
11050,"Zheng, Alan",2741 Gainborough Dr.,1951,Qtr 3,September,7,High School,1,M,2,Skilled Manual,3,$30000
11051,"Johnson, Daniel",8085 Sunnyvale Avenue,1951,Qtr 3,August,4,High School,0,S,2,Skilled Manual,3,$30000
11052,"Lopez, Heidi",2514 Via Cordona,1951,Qtr 3,August,7,Partial College,0,S,2,Clerical,2,$40000
11053,"Price, Ana",1660 Stonyhill Circle,1980,Qtr 3,August,20,Partial College,0,M,2,Skilled Manual,0,$60000
11054,"Munoz, Deanna",5825 B Way,1952,Qtr 1,March,10,Partial College,1,M,2,Skilled Manual,2,$40000
11055,"Raje, Gilbert",8811 The Trees Dr.,1952,Qtr 1,March,5,Partial College,1,M,2,Skilled Manual,2,$40000
11056,"Nath, Michele",5464 Janin Pl.,1953,Qtr 2,April,3,Partial College,1,M,2,Skilled Manual,3,$40000
11057,"Andersen, Carl",6930 Lake Nadine Place,1953,Qtr 4,October,12,Graduate Degree,1,M,2,Management,2,$70000
11058,"Diaz, Marc",6645 Sinaloa,1954,Qtr 2,April,27,Partial College,1,M,2,Skilled Manual,2,$80000
11059,"Andersen, Ashlee",8255 Highland Road,1954,Qtr 2,April,1,Partial College,1,S,2,Skilled Manual,2,$80000
11060,"Zhou, Jon",6574 Hemlock Ave.,1954,Qtr 1,March,17,Partial College,1,M,2,Skilled Manual,2,$80000
11061,"Gao, Todd",8808 Geneva Ave,1954,Qtr 1,February,27,Partial College,1,M,2,Skilled Manual,2,$80000
11062,"Powell, Noah",9794 Marion Ct,1975,Qtr 3,September,2,High School,1,M,2,Skilled Manual,0,$40000
11063,"Murphy, Angela",4927 Virgil Street,1975,Qtr 2,April,7,High School,1,S,2,Skilled Manual,0,$40000
11064,"Reed, Chase",2721 Alexander Pl.,1975,Qtr 4,December,7,High School,1,M,2,Skilled Manual,0,$40000
11065,"Henderson, Jessica",9343 Ironwood Way,1973,Qtr 4,October,9,Partial College,0,M,2,Skilled Manual,0,$60000
11066,"Butler, Grace",4739 Garden Ave.,1973,Qtr 4,November,27,Partial College,1,M,2,Professional,0,$70000
11067,"Carter, Caleb",9563 Pennsylvania Blvd.,1976,Qtr 3,September,25,Partial College,1,S,2,Professional,0,$60000
11068,"Liang, Tiffany",3608 Sinclair Avenue,1955,Qtr 3,September,23,High School,1,S,2,Skilled Manual,2,$80000
11069,"Navarro, Carolyn",4606 Springwood Court,1955,Qtr 3,September,21,High School,0,S,2,Skilled Manual,2,$80000
11070,"Raji, Willie",6260 Vernal Drive,1955,Qtr 2,April,5,High School,1,M,2,Skilled Manual,2,$80000
11071,"Serrano, Linda",9808 Shaw Rd.,1955,Qtr 2,June,26,High School,1,S,2,Skilled Manual,2,$80000
11072,"Luo, Casey",9513 Roslyn Drive,1955,Qtr 1,February,6,High School,0,S,2,Skilled Manual,2,$80000
11073,"Ye, Amy",2262 Kirkwood Ct.,1956,Qtr 3,August,14,High School,1,S,2,Skilled Manual,2,$70000
11074,"Arun, Levi",4661 Bluetail,1956,Qtr 3,August,28,High School,1,S,2,Skilled Manual,2,$70000
11075,"Jimenez, Felicia",786 Eastgate Ave,1957,Qtr 4,November,16,High School,1,S,2,Professional,2,$80000
11076,"Anderson, Blake",5436 Clear,1957,Qtr 3,July,13,High School,1,S,2,Professional,2,$80000
11077,"Ye, Leah",1291 Arguello Blvd.,1957,Qtr 3,September,19,High School,0,S,2,Professional,2,$80000
11078,"Martin, Gina",1349 Sol St.,1974,Qtr 1,January,10,High School,0,S,2,Professional,0,$40000
11079,"Gonzalez, Donald",4236 Malibu Place,1959,Qtr 1,March,11,Graduate Degree,1,S,2,Management,0,$160000
11080,"Chander, Damien",9941 Stonehedge Dr.,1959,Qtr 3,July,17,Graduate Degree,1,M,2,Management,0,$170000
11081,"Baker, Savannah",1210 Trafalgar Circle,1966,Qtr 3,July,24,Bachelors,1,M,3,Management,2,$120000
11082,"Butler, Angela",6040 Listing Ct,1966,Qtr 3,August,4,Graduate Degree,0,S,3,Management,0,$130000
11083,"Cox, Alyssa",867 La Orinda Place,1966,Qtr 1,March,15,Graduate Degree,1,M,3,Management,0,$130000
11084,"Phillips, Lucas",8668 St. Celestine Court,1957,Qtr 3,September,12,Partial High School,0,S,2,Skilled Manual,2,$80000
11085,"Johnson, Emily",7926 Stephanie Way,1957,Qtr 3,July,19,High School,0,S,2,Professional,2,$60000
11086,"Brown, Ryan",2939 Wesley Ct.,1957,Qtr 4,December,23,Partial College,1,M,0,Professional,2,$70000
11087,"Liang, Tamara",3791 Rossmor Parkway,1957,Qtr 4,October,3,Partial College,0,M,0,Professional,3,$70000
11088,"Davis, Hunter",4308 Sand Pointe Lane,1957,Qtr 4,November,25,Bachelors,1,M,0,Management,2,$80000
11089,"Price, Abigail",2685 Blackburn Ct,1957,Qtr 1,February,5,Bachelors,1,S,1,Management,2,$80000
11090,"Bryant, Trevor",5781 Sharon Dr.,1957,Qtr 4,December,17,Partial College,1,S,1,Professional,2,$90000
11091,"Perez, Dalton",6083 San Jose,1957,Qtr 2,April,4,Partial College,1,M,1,Professional,2,$90000
11092,"Diaz, Cheryl",7297 Kaywood Drive,1967,Qtr 2,May,6,Bachelors,1,M,0,Professional,2,$90000
11093,"He, Aimee",1833 Olympic Drive,1967,Qtr 3,September,10,Graduate Degree,1,M,0,Management,0,$100000
11094,"Ma, Cedric",3407 Oak Brook Place,1962,Qtr 2,April,1,Partial College,0,S,1,Skilled Manual,1,$70000
11095,"Kumar, Chad",1681 Lighthouse Way,1962,Qtr 3,September,1,Partial College,1,S,1,Skilled Manual,1,$70000
11096,"Anand, Andrés",5423 Los Gatos Ct.,1962,Qtr 3,August,10,Bachelors,1,M,1,Professional,1,$60000
11097,"Nara, Edwin",719 William Way,1961,Qtr 4,October,27,Partial College,1,M,1,Skilled Manual,1,$60000
11098,"Rubio, Mallory",6452 Harris Circle,1961,Qtr 2,May,1,Partial College,0,S,1,Skilled Manual,1,$60000
11099,"Ross, Adam",4378 Westminster Place,1961,Qtr 1,March,8,Bachelors,1,M,1,Professional,1,$60000
11100,"Navarro, Latasha",6954 Ranch Road,1960,Qtr 3,September,15,Partial College,1,S,1,Skilled Manual,1,$60000
11101,"Sai, Abby",7074 N. Spoonwood Court,1965,Qtr 2,May,8,Bachelors,0,S,1,Professional,0,$70000
11102,"Nelson, Julia",2196 Coat Ct.,1965,Qtr 2,April,21,Bachelors,1,S,4,Professional,5,$80000
11103,"Chande, Cassie",9448 San Marino Ct.,1964,Qtr 4,October,17,Bachelors,1,S,1,Professional,0,$70000
11104,"Sara, Edgar",6127 Lilly Lane,1964,Qtr 1,March,11,Bachelors,0,M,1,Professional,0,$70000
11105,"Fernandez, Candace",5029 Blue Ridge,1964,Qtr 4,December,28,Bachelors,0,S,1,Professional,0,$70000
11106,"Liu, Jessie",3063 Blue Jay Drive,1964,Qtr 3,September,11,Bachelors,0,S,1,Professional,0,$70000
11107,"Lin, Bianca",7530 Eola,1959,Qtr 3,September,9,Bachelors,1,M,1,Professional,1,$90000
11108,"Alvarez, Kari",9178 Thornhill Place,1963,Qtr 3,July,14,Bachelors,0,S,2,Professional,0,$70000
11109,"Kapoor, Ruben",1984 Glendale Circle,1963,Qtr 4,November,5,Bachelors,0,S,2,Professional,0,$70000
11110,"Yang, Curtis",4052 Mt. Wilson Way,1962,Qtr 2,June,6,Partial College,1,M,1,Skilled Manual,1,$60000
11111,"Gutierrez, Meredith",7610 Northridge Ct.,1962,Qtr 1,February,23,Partial College,1,M,1,Skilled Manual,1,$60000
11112,"Wang, Crystal",2773 Kirkwood Dr,1962,Qtr 3,September,9,Partial College,1,M,1,Skilled Manual,1,$60000
11113,"Blanco, Micheal",596 Marfargoa Drive,1962,Qtr 1,February,21,Bachelors,1,M,2,Professional,5,$70000
11114,"Moreno, Leslie",7941 Cristobal,1962,Qtr 2,May,28,Partial College,1,S,2,Skilled Manual,5,$70000
11115,"Cai, Alvin",7759 Azalea Avenue,1962,Qtr 1,February,12,Partial College,1,M,2,Skilled Manual,5,$70000
11116,"Carlson, Clinton",7943 Cunha Ct.,1962,Qtr 4,October,7,Partial College,1,M,2,Skilled Manual,5,$70000
11117,"Deng, April",485 Ash Lane,1961,Qtr 1,February,21,Partial College,1,M,3,Skilled Manual,5,$70000
11118,"Zeng, Alvin",3853 Wildcat Circle,1957,Qtr 3,July,3,Partial College,0,S,1,Skilled Manual,1,$80000
11119,"James, Evan",4157 Sierra Ridge,1935,Qtr 2,April,10,Partial College,0,S,2,Clerical,2,$30000
11120,"Jiménez, Beth",7401 Las Palmas,1936,Qtr 3,August,9,Bachelors,1,S,1,Management,2,$40000
11121,"Suarez, Orlando",7743 Hames Dr,1960,Qtr 4,November,18,Partial College,1,M,3,Skilled Manual,5,$70000
11122,"Vazquez, Byron",3187 Hackamore Lane,1960,Qtr 2,April,2,Partial College,1,M,3,Skilled Manual,5,$70000
11123,"Alvarez, Philip",2775 Mt. Olivet Pl.,1960,Qtr 2,June,20,Partial College,1,M,3,Skilled Manual,5,$70000
11124,"Jordan, Ross",6973 Dublin Court,1957,Qtr 3,July,27,Partial College,1,S,1,Skilled Manual,1,$80000
11125,"Navarro, Dana",8481 Zartop Street,1956,Qtr 2,April,8,Partial College,1,S,1,Skilled Manual,1,$70000
11126,"Carson, Shaun",57 Wolf Way,1949,Qtr 2,April,7,High School,0,M,2,Skilled Manual,2,$10000
11127,"Edwards, Jan",9409 The Alameda,1975,Qtr 4,October,21,High School,1,M,1,Skilled Manual,0,$40000
11128,"Long, Samantha",1606 Alderwood Lane,1975,Qtr 4,December,5,High School,1,M,1,Skilled Manual,0,$40000
11129,"Wright, Julia",7397 Central Blvd.,1975,Qtr 3,August,5,High School,1,S,1,Skilled Manual,0,$40000
11130,"Russell, Caroline",3884 Bates Court,1980,Qtr 1,January,6,High School,1,M,2,Skilled Manual,0,$30000
11131,"Rivera, Amanda",9573 Royal Oak Rd.,1980,Qtr 1,March,12,High School,0,M,2,Skilled Manual,0,$30000
11132,"Richardson, Melissa",6832 Fruitwood Dr,1980,Qtr 4,October,26,High School,0,S,2,Skilled Manual,0,$30000
11133,"Griffin, Angela",3828 Baltic Sea Ct,1980,Qtr 3,September,8,Partial High School,0,S,2,Clerical,0,$30000
11134,"Townsend, Larry",7034 Carson,1946,Qtr 1,February,26,High School,1,S,2,Skilled Manual,5,$10000
11135,"Harris, Marcus",9068 Quiet Place Drive,1979,Qtr 4,November,3,Partial High School,0,S,2,Clerical,0,$30000
11136,"Morgan, Brianna",9005 Eagle Ct.,1978,Qtr 4,October,26,High School,0,S,2,Skilled Manual,0,$40000
11137,"Taylor, Jasmine",2457 Matterhorn Court,1978,Qtr 3,July,20,High School,1,M,2,Skilled Manual,0,$40000
11138,"Davis, Lauren",8105 Pembrook Court,1978,Qtr 3,September,15,High School,0,M,2,Skilled Manual,0,$40000
11139,"Moreno, Tanya",6155 Wilbur Drive,1938,Qtr 4,November,9,Partial College,0,S,2,Clerical,2,$30000
11140,"Alvarez, Javier",8935 Etcheverry Dr.,1977,Qtr 1,February,11,Partial High School,0,S,2,Clerical,0,$30000
11141,"Ramirez, Nicole",1101 C Street,1977,Qtr 2,June,21,High School,0,M,2,Skilled Manual,0,$40000
11142,"Patterson, Eduardo",6255 Macalvey Dr.,1977,Qtr 3,August,14,High School,0,S,2,Skilled Manual,0,$40000
11143,"Henderson, Jonathan",165 East Lane Road,1977,Qtr 1,February,4,High School,1,M,2,Skilled Manual,0,$40000
11144,"Hernandez, Edward",7607 Pine Hollow Road,1979,Qtr 3,September,9,High School,0,S,2,Skilled Manual,0,$40000
11145,"Coleman, Jasmine",1961 Oak Grove Road,1979,Qtr 4,December,8,High School,0,S,2,Skilled Manual,0,$40000
11146,"Goel, Karla",3272 Corrie Lane,1939,Qtr 3,August,26,Bachelors,1,S,2,Management,2,$40000
11147,"Wu, Ernest",1832 RiverRock Dr,1939,Qtr 1,February,5,Graduate Degree,1,M,1,Management,2,$60000
11148,"Vazquez, Ross",1201 Paso Del Rio Way,1941,Qtr 3,August,16,Bachelors,1,M,2,Management,2,$40000
11149,"Gill, Theodore",9120 Pinewood Court,1941,Qtr 2,April,20,Bachelors,1,M,2,Management,2,$40000
11150,"Shen, Russell",4755 Easley Drive,1941,Qtr 1,March,15,Bachelors,1,S,2,Management,2,$40000
11151,"Gill, Melinda",805 Rainier Dr.,1942,Qtr 1,February,25,Graduate Degree,0,S,1,Management,2,$60000
11152,"Williams, James",6827 Seagull Court,1976,Qtr 1,January,10,High School,1,S,2,Skilled Manual,0,$40000
11153,"James, Angela",8877 Weatherly Drive,1976,Qtr 2,June,23,High School,1,M,2,Skilled Manual,0,$40000
11154,"Walker, Megan",6898 Holiday Hills,1976,Qtr 3,August,21,Partial College,1,S,1,Skilled Manual,0,$40000
11155,"Robinson, Hunter",8356 Mori Court,1976,Qtr 1,January,26,Partial College,0,S,1,Skilled Manual,0,$40000
11156,"Roberts, Maria",9452 Mariposa Ct.,1976,Qtr 1,February,7,Partial College,0,S,1,Skilled Manual,0,$40000
11157,"Long, Hannah",1832 Preston Ct.,1975,Qtr 2,June,11,High School,1,M,2,Skilled Manual,0,$40000
11158,"Wright, Jason",6771 Bundros Court,1975,Qtr 4,October,8,High School,1,S,2,Skilled Manual,0,$40000
11159,"Hughes, Brianna",6793 Bonifacio St.,1975,Qtr 3,September,17,High School,0,S,2,Skilled Manual,0,$40000
11160,"Tang, Maurice",2886 Chaparral Court,1974,Qtr 1,January,8,Partial College,0,S,1,Skilled Manual,0,$40000
11161,"Wood, Emily",1562 Black Walnut,1974,Qtr 2,April,22,Partial College,0,S,1,Skilled Manual,0,$40000
11162,"Cox, Chase",P.O. Box 8070,1974,Qtr 1,March,5,Partial College,1,S,1,Skilled Manual,0,$40000
11163,"Wang, Gabriel",8002 Crane Court,1974,Qtr 4,December,20,Partial College,1,M,1,Skilled Manual,0,$40000
11164,"Brooks, Devin",4231 Highland Dr.,1974,Qtr 2,May,5,Partial College,0,S,1,Skilled Manual,0,$40000
11165,"Alexander, Jocelyn",3376 Bank Way,1973,Qtr 3,July,18,Partial College,0,M,1,Skilled Manual,0,$60000
11166,"Martinez, Ashley",6993 Whyte Park Ave.,1972,Qtr 2,April,24,Partial College,0,S,2,Skilled Manual,0,$70000
11167,"Barnes, Jasmine",9183 Via Del Sol,1972,Qtr 3,August,1,Bachelors,0,S,1,Management,0,$80000
11168,"Rodriguez, David",38 Shangri-la Rd.,1968,Qtr 2,May,15,Bachelors,0,S,1,Management,0,$80000
11169,"Richardson, Bryce",1841 Blackwood Drive,1968,Qtr 2,June,22,Bachelors,1,M,1,Management,4,$90000
11170,"Howard, Carol",6281 Edward Ave,1968,Qtr 1,February,5,Bachelors,1,M,1,Management,4,$90000
11171,"Hill, Jonathan",3731 Chinquapin Ct,1967,Qtr 4,October,9,Bachelors,1,S,2,Management,1,$100000
11172,"Adams, Gabrielle",5621 Arcadia Pl.,1967,Qtr 4,November,21,Bachelors,1,M,2,Management,1,$100000
11173,"Thomas, Sarah",5636 Mt. Whitney Dr.,1967,Qtr 3,September,1,Graduate Degree,0,S,4,Management,0,$110000
11174,"Robinson, Nicholas",1318 Lasalle Street,1967,Qtr 3,July,13,Graduate Degree,1,M,0,Management,0,$110000
11175,"Wang, Luis",6943 Patterson Blvd.,1963,Qtr 1,March,5,Partial College,1,S,2,Skilled Manual,0,$70000
11176,"Roberts, Mason",5753 Megan Dr.,1968,Qtr 1,January,25,Bachelors,1,M,1,Management,4,$90000
11177,"Flores, Jose",3991 Rambling Rose Drive,1942,Qtr 3,July,4,Graduate Degree,1,M,2,Management,2,$110000
11178,"Johnson, Nathan",8927 Daylight Place,1943,Qtr 3,August,24,Graduate Degree,1,M,3,Management,2,$100000
11179,"Rodriguez, Molly",5556 Riverland Dr.,1943,Qtr 2,June,14,Graduate Degree,1,M,3,Management,2,$120000
11180,"Anand, April",3531 Brookview Drive,1943,Qtr 1,January,2,Bachelors,1,M,4,Management,1,$160000
11181,"Martin, Devin",1085 Greenbelt Way,1943,Qtr 3,August,8,Graduate Degree,1,M,2,Management,2,$170000
11182,"Torres, Stephanie",6968 Mildred Ln.,1944,Qtr 3,August,25,Bachelors,1,S,2,Management,4,$70000
11183,"Lee, Jasmine",7502 Contuti Avenue,1944,Qtr 3,July,15,Bachelors,1,S,2,Management,4,$70000
11184,"Hernandez, Meghan",5872 L St.,1944,Qtr 4,November,16,Bachelors,1,S,2,Management,4,$70000
11185,"Henderson, Ashley",8834 San Jose Ave.,1944,Qtr 4,October,8,Bachelors,1,S,2,Management,4,$70000
11186,"Price, Sarah",4815 Paraiso Ct.,1944,Qtr 2,May,21,Bachelors,1,S,2,Management,4,$70000
11187,"Cooper, Jennifer",2429 Longview Road,1944,Qtr 1,February,22,Graduate Degree,1,M,2,Management,4,$60000
11188,"Morris, Catherine",6542 Stonewood Drive,1944,Qtr 3,September,6,Graduate Degree,0,M,2,Management,4,$60000
11189,"Blanco, Lawrence",7502 Contuti Avenue,1944,Qtr 3,July,15,Graduate Degree,1,S,2,Management,4,$60000
11190,"Bryant, Carson",2995 Youngsdale Dr.,1944,Qtr 2,June,22,Bachelors,1,M,2,Management,5,$70000
11191,"Perez, Kristi",1769 Lislin Ct,1945,Qtr 4,December,18,Bachelors,1,S,3,Management,5,$70000
11192,"Brown, James",673 Old Mountain View Dr.,1945,Qtr 3,September,13,Bachelors,1,M,2,Management,4,$60000
11193,"Gray, Ian",5941 Gill Dr.,1945,Qtr 1,February,13,Bachelors,1,M,2,Management,4,$60000
11194,"Price, Jacqueline",872 Mark Twain Dr,1945,Qtr 2,June,10,Bachelors,1,M,2,Management,4,$60000
11195,"Henderson, Megan",8411 Mt. Olivet Place,1946,Qtr 1,February,10,Bachelors,1,M,3,Management,5,$60000
11196,"Romero, Alfredo",2499 Greendell Pl,1946,Qtr 2,June,7,Bachelors,1,M,3,Management,5,$60000
11197,"Morris, Andrea",1883 Green View Court,1946,Qtr 2,June,18,Bachelors,0,M,1,Management,3,$70000
11198,"Sanders, Brooke",5192 Dumbarton Drive,1946,Qtr 4,November,26,Bachelors,1,S,1,Management,4,$70000
11199,"Bennett, Jacqueline",8948 Chinquapin Court,1946,Qtr 4,November,6,Bachelors,1,M,1,Management,4,$70000
11200,"Griffin, Jason",7239 Nicholas Drive,1947,Qtr 4,November,22,Bachelors,1,M,1,Management,4,$70000
11201,"Foster, Amanda",3984 San Francisco,1947,Qtr 3,August,18,Bachelors,1,M,1,Management,4,$70000
11202,"Price, Alexia",2079 Wellington Ct,1947,Qtr 3,August,26,Bachelors,0,M,2,Management,5,$80000
11203,"Diaz, Luis",3682 Diablo View Road,1948,Qtr 3,August,21,High School,1,M,2,Professional,2,$40000
11204,"Rivera, Destiny",6965 Appalachian Drive,1948,Qtr 2,June,1,High School,1,M,2,Professional,2,$40000
11205,"Fernandez, Abby",8330 Glenside Court,1948,Qtr 3,July,24,High School,1,M,2,Professional,2,$40000
11206,"Flores, Blake",9410 Ferry St.,1948,Qtr 3,September,24,Partial College,1,M,1,Professional,2,$60000
11207,"Cox, Danielle",2346 Wren Ave,1948,Qtr 3,July,19,Partial College,1,S,1,Professional,2,$60000
11208,"Reed, Maria",1413 Bridgeview St,1948,Qtr 1,February,4,Bachelors,1,M,0,Management,2,$60000
11209,"Evans, Allison",3515 Sutton Circle,1948,Qtr 1,January,13,Bachelors,1,M,0,Management,2,$60000
11210,"Wood, Edward",1039 Adelaide St.,1948,Qtr 2,June,8,Partial College,1,M,2,Professional,4,$70000
11211,"Russell, Samantha",9256 Village Oaks Dr.,1949,Qtr 4,October,12,High School,1,M,2,Professional,2,$40000
11212,"Campbell, Chloe",3562 East Ave.,1949,Qtr 4,November,5,High School,1,M,2,Professional,2,$40000
11213,"Murphy, Stephanie",5514 Grant Street,1949,Qtr 2,May,14,Partial College,1,S,2,Professional,2,$60000
11214,"Miller, Charles",2719 Little Dr,1949,Qtr 4,November,7,Partial College,1,S,2,Professional,2,$60000
11215,"Perry, Ana",3114 Arlington Way,1950,Qtr 2,June,21,Partial High School,1,M,2,Skilled Manual,2,$40000
11216,"Torres, Jasmine",8328 San Francisco,1950,Qtr 2,May,20,Partial College,1,S,2,Professional,2,$60000
11217,"Adams, Natalie",6592 Bent Tree Lane,1950,Qtr 1,February,11,Partial College,1,S,2,Professional,2,$60000
11218,"Brown, Olivia",3964 Stony Hill Circle,1950,Qtr 3,September,11,Partial College,0,S,2,Professional,2,$60000
11219,"Cook, Charles",6871 Bel Air Dr.,1950,Qtr 4,December,2,High School,1,M,2,Professional,2,$60000
11220,"Huang, Erica",9142 All Ways Drive,1950,Qtr 1,February,23,Partial College,1,M,1,Professional,2,$60000
11221,"Perry, Nathan",9714 Nicholas Drive,1950,Qtr 2,June,10,Partial College,1,M,1,Professional,4,$70000
11222,"Rivera, Alexandra",4999 Corte Segunda,1950,Qtr 3,August,17,Bachelors,1,M,1,Management,3,$80000
11223,"Patterson, Hailey",5045 Vancouver Way,1951,Qtr 3,September,16,High School,1,S,2,Professional,2,$70000
11224,"Li, Tiffany",6404 Del Mar Ave,1951,Qtr 3,September,6,High School,1,S,2,Professional,2,$70000
11225,"Lee, Madison",5927 Seaview Avenue,1951,Qtr 1,February,16,Partial College,1,M,1,Professional,2,$60000
